resonance_smis,H298_kcal
OC[CH]C12CC3CC1C32,64.07532393603518
[CH]1OC2(C3CN3)COC12,52.72090694100714
CO[CH]C1(C)CN1C,24.86450030126892
C1C[C]2OCC2O1,-3.3124375543269786
CC1([C]2OCC2O)CO1,-38.06780545281009
C#CC1C2OC1C2[CH]C,120.23519525549544
CC12[CH]OC(C1)C(O)C2,-44.75296194223413
CCCC[C]1CCC1,29.96572981909408
[CH]1CC2(C3CN3)OC12,91.1942099857886
CC1(C)CC12[CH]CC=C2,59.82035069809299
CCC1NC12[CH]C(O)C2,39.6357522843291
C#CC12O[CH]C1C2OC,86.09564620525941
[CH2]C1CC1(O)C#CCC,60.76187532398327
C#CCC1OC1C[CH]O,29.04204627799908
CN1C2[CH]CC(=O)C1C2,37.44035410628036
COC1CC1[CH]CO,-22.240700668969843
O=C1C[CH]C2(CC2O)O1,-55.94171015710064
O=[C]C(CO)N1CC1,-0.1674717530765005
C[C]1CC2CC(O2)C1C,2.4291063899314373
CC12OC1C1OC2[C]1O,2.25904891872947
Nc1c[nH]c2c1C[CH]N2,95.75144580632846
CC1CC12CC1[N]C12C,102.01328422913568
C[C]1COC12COC2C,-2.590951974608492
[CH2]C1C(C#CC#N)N1C,160.46619528666625
[CH2]C1C2C=CC(CO)C12,33.911667858845355
CCC[CH]C1(C=O)CC1,7.692555087907346
CCC(C)(O)C(C)[CH]O,-85.72824043205259
NC1C(=O)O[CH]C12CN2,4.576640736437066
CC12[CH]OC(C1)C2O,-16.218240582969674
[CH2]C1C(CC)N1CC#N,90.52677272224722
CCCC=[N],38.07542395262369
[CH2]OCCCCCC,-26.854179415381427
CN1CC12[CH]CC1OC12,64.95093578079904
C[C]1CC(O)C1C#N,37.62530506682996
CC(C)C(=[N])O,-9.262098290675556
CC(=O)C1[CH]C(C)CC1,-19.274627060316423
C[C]1CC2(C=O)OC12,22.173424577284063
CCC1[C](C)C2OC12C,26.625055727118465
CCC1(C)CC12[CH]OC2,29.091519545420024
[CH]1C2C3N1CC23C1CC1,160.07705097156028
CC1O[C]1C(C)(O)CO,-72.97754986532797
CC(C)O[C]1COC1C,-34.988867200299026
CC1=CC[CH]CC=C1,61.220948019146434
CC1(C)OCC1[CH]O,-39.27839106525998
CC1(O)C[CH]OC1C#N,-15.967324563315282
O=CC1OC[C]1C1CC1,19.60436570497146
CC1(C2=NC[CH]O2)CO1,7.421433305123079
C#CC(C)(C#N)C[CH]O,71.29633583255331
N=CO[CH]C1CCO1,4.792637758390307
CC1OC12CO[C]2CO,-34.39957172671263
C[C]1C2COC3C1OC23,9.20076705545183
C[CH]C(C)n1cccn1,66.96856401727682
C[C](CC1CO1)C(C)C,-4.436076030012427
CC1(C)C[CH]COC1,-16.861555346190958
CC(O)C1([C]=O)CC1,-30.58970414330517
C#CC(O)C1NC1[CH2],87.06288511157844
[CH2]C1C2CC(C)C12CO,27.13300307145761
CC(C)OC[C]1COC1,-23.83166172329212
O=CO[C]1CCC12CC2,0.2301066761074098
CCC(O)[CH]C1(C)CC1,-11.12441252988416
N#CCC(O)CC[CH]O,-36.39038011207937
CC(=O)C1([C]=O)COC1,-41.98369312754053
O=CC[C]1CC=CC1,20.30045879302032
O=C1C=[C]COCOC1,-22.98719003626164
O[CH]C12CCC1C1CN12,72.96594299003358
CC1C2[CH]N(C)C12C#N,121.95938153690518
COC1C=C(C)C[C]1C,2.1748717242202096
N#CC12CN3C([C]1N)C32,165.45801413503523
C[CH]C(CC=O)OC=O,-83.03275835013406
[CH2]C1C=C2CC3C1C23C,150.90486872049456
CC1([CH]COC=O)CO1,-64.041120877034
COC1(C#N)CC[C]1N,48.352561384239976
CN1CC1C1([C]=O)CO1,32.6750559032863
CC1C2CC1([C]1CN1)O2,103.27656062709684
C[C](O)C1COC1=O,-76.51692798411449
CCC12[CH]OC1(C)CC2,20.13592563076241
CC12OC[CH]C1CC2=O,-12.645639140158767
CC12NC1CCC[C]2O,8.910978128950067
C[C]1CC=CC(=O)OC1,-28.57322809237752
OC1CC[CH]OC12CC2,-25.397206266857552
CC1C([O])C(O)C2CC12,-23.847238924226303
N#CCNC[CH]C1CC1,88.36577464583024
C[C]1C(C)C2NC12CO,37.754696451180735
N=C1C[CH]C(C2CO2)O1,7.071990979976242
CC1COC=NC1[CH]O,-33.164854040848994
CCCC1CC2(O)[CH]C12,31.637190818182507
CCCC1(O)[CH]OC1=N,-16.56817142857146
O=[C]C1OCCC12CN2,8.859587359207538
[CH]1CCC23CC2(CO3)O1,26.05828217088441
CC(O)(C#N)C1C[CH]O1,3.2718340754724
CCC1([C]=O)C(C)C1O,-34.14544970718953
CC(C#N)C(C)(O)[C]=O,-25.13921205244576
CC(=[N])c1ccccc1C,63.88055618303395
C#CC1[N]C(C#N)C1O,122.52759319291896
C#CC1NC(C#N)[C]1N,164.8991405625758
C#CCC1C([CH2])C1C,99.65125499748127
O=C1C[CH]C12C1CCC12,73.23237213626699
C[C]1CC2C3C1CC23C,68.90731672620986
COCC1O[CH]OC1C,-77.41797682598992
[CH2]C(=C)OC,3.8528953322315953
C[CH]C1(C=O)CN1,32.33045781134291
CC1O[CH]C2(C)CC12,8.363121510459374
O=CC12C3[CH]OC1C2N3,50.75057625868291
[CH]1CC2N=COC2CO1,-10.63905604929834
C[CH]C1C(C)C2OC12,37.198907281791
C#CC(C#N)([CH]O)CO,42.60446304138274
[CH2]Oc1onnc1O,12.709523683911094
[CH]1COCC12CO2,-1.6004276492397125
CC(O)C(C)C[CH]O,-75.80299134257488
O=C1CN[CH]C1O,-23.474023894605214
COC12C[CH]CC(C1)C2,8.709795348813577
CC(C)C([C]=O)OC=O,-91.5359133799413
CC12C[CH]C1(C1CN1)O2,80.13693617834214
CC12CC1C(C#N)[CH]O2,52.64679775377926
O[CH]C1OC12C1CC2C1,39.923191501548615
C[CH]C1C(C)N1CC#N,87.7974858129606
CC12[CH]OC3C1CC32,57.639711227028585
CCC(C)(C#N)[CH]CO,2.8445527376040296
CC1NC12CC(O)[C]2O,-0.864317572009197
C[CH]C(C)(O)CCOC,-68.62594136976074
O=C1C(CO)[CH]C2NC12,1.4742726719566224
COCC[CH]N1CC1C,21.768190151039985
OC1C2[CH]C1C2,63.14669778643898
[CH]1CCCCCCCC1,11.873231051749958
C#CC1([O])CC2CC21,109.50807214646296
CC12[C]3CCN1C2CO3,49.49678713382443
C[C](CO)CC1CCC1,-8.384471790110526
OC12[CH]C3C1N3C2,96.31346360527093
C[CH]C1CC1(O)CO,-36.47715080752358
[CH2]OC12C=CC3OC1C32,63.64633710759742
C#CC(=O)OC[C]=O,-9.60288268687543
CC(C#N)([CH]O)N1CC1,53.94278496358307
CC1[C](O)C(C)C1C=O,-30.35947598552983
C[CH]C1OC(=N)C1NC,32.40157091572109
C[C]1C(C)OC1CCO,-38.56656076645179
CC1(O)[CH]C2OC21C#N,43.78891219330722
[CH2]OCC(=O)OC(C)=N,-65.63955345119611
C#CCC([C]=O)C1CO1,48.127579868966805
CO[CH]C1C(C)C1O,-28.04964501861249
CC[CH]C1CC1CO,-0.8155315269034897
COC1([CH]CO)CC1C,-30.619116509828395
