resonance_smis,H298_kcal,weights
CC1(O)[CH]C2OC21C#N,43.78891219330722,1.0
[CH2]OCC(=O)OC(C)=N,-65.63955345119611,1.0
C#CCC([C]=O)C1CO1,48.127579868966805,1.0
CO[CH]C1C(C)C1O,-28.04964501861249,1.0
CC[CH]C1CC1CO,-0.8155315269034897,1.0
COC1([CH]CO)CC1C,-30.619116509828395,1.0
C[C]1CCC2(CN2)C1O,17.046269711974823,1.0
CC1[CH]C2OC(=O)C2C1,-33.36780693258928,1.0
C#CC1OC1C[CH]OC,46.879247330482364,1.0
[CH2]n1c(O)cc(N)c1O,-3.485545166012299,1.0
OC1C[C]2COC=NC21,6.77899848646964,1.0
C[C](CO)C1CCCC1,-26.827645147709813,1.0
C#CC12[N]CC1C2C#N,189.58477861569446,1.0
C#CC1C[C](OC)C1,72.57756316918608,1.0
[CH2]N1C2C=CC1C2OC,81.61536678251898,1.0
O=[C]CC1=CCCCC1,3.2312995127206534,1.0
CC1=NC(C)C([CH]O)O1,-40.54069166641257,1.0
CO[CH]CCC(C)=NO,-11.372686437862754,1.0
C[C]1C2OC2C1C1CO1,42.25092394542771,1.0
CN1[CH]CC1CC#N,89.25805860237264,1.0
CC12CC([C]1O)C2=O,21.237819756503363,1.0
CC1OCC2(O)[C](O)C12,-49.32985908958309,1.0
CC1COC1(C)[CH]O,-41.75552663178305,1.0
CN=C1O[C]2C(C)C21O,44.29579445438591,1.0
OCC1CO[CH]C12CN2,-5.389884641838176,1.0
CO[C]1CC(C)N=CO1,-26.76572129666925,1.0
C#CC(C[CH]O)C1CC1,60.41496746355088,1.0
[O]C1C=CC2CC12O,15.186501624796541,1.0
OCC1O[CH]C2CC21O,-56.20558260528784,1.0
CO[C]1CC2=CCCC12,52.48180500794011,1.0
COC1[CH]OC(C)C1O,-83.7267870036913,1.0
CN1[CH]C(O)C(C=O)=C1,-13.42350802656088,1.0
N=C1CCCC[CH]CO1,5.665718917852238,1.0
CCOC1[CH]OC(=N)O1,-64.28412349645795,1.0
CC(O)C[C]1CCC1C,-11.244116072653648,1.0
C[CH]C1(C)OC1(C)C,-8.042080598483508,1.0
CCC[CH]OC,-16.278223917829322,1.0
C#CC(O)C1NC1[CH]C,75.34252607265593,1.0
CC1[CH]CC(=O)C2NC12,30.21127870796615,1.0
[CH2]C12OC1C(=NO)C2C,59.64419783610587,1.0
CC1CC(O)C12[N]C2C,31.345878174256836,1.0
CC12CC1[CH]C21CC1,100.52613913160583,1.0
OCCC(O)[CH]C1CO1,-68.11135084811377,1.0
C#CC(O)C[CH]N1CC1,82.74981107327842,1.0
C#CC1C[CH]C2CC2C1,105.24794625486511,1.0
OCC1[CH]C2C3CC1N23,55.41967771460991,1.0
O=C1CC2CC([CH]O1)O2,-49.371148955251016,1.0
O=C1CC2([CH]O1)COC2,-50.81570642014132,1.0
C[CH]C1C(C#N)N1C,93.95987789560562,1.0
C#CC(O)C(C)(C)[O],3.6728708313677654,1.0
OCC12CN1[CH]C21CC1,82.33689819360183,1.0
O=CC12C[CH]CC1O2,-2.766781125542127,1.0
CN1C2C[CH]C1(C#N)C2,111.2050775919895,1.0
[CH2]OCCC(C)C(C)O,-68.19873519255381,1.0
CC(OC=O)C(O)[CH]O,-140.67918080899085,1.0
C#CC1(C#N)OC[C]1O,85.81950502227583,1.0
CC1C2[N]C2C2(C)CN12,99.86228983628094,1.0
[CH]1CCC2C3CC(O1)C23,81.56767167819258,1.0
[CH]1CC2=CC3OC3C2O1,31.916898647371912,1.0
COC[C]1OC2C(O)C12,-21.286716425485256,1.0
[CH]1CC2(C1)NC2C1CO1,83.76553123690009,1.0
O=C1OCC12CC[C]2O,-46.734368738716256,1.0
C[C]1COC2CC2CO1,-12.743336291676313,1.0
CC12NC1[CH]C(O)C2=O,-1.1021980980084505,1.0
OC12CC[CH]C1C2,15.03515363720519,1.0
N=C1O[CH]C2(CN2)CO1,22.505732667511882,1.0
C[CH]C12CCCC1C2O,4.154180920985141,1.0
C#CC(C)[C]1CC(O)C1,59.376718957791006,1.0
CC12CC(C1)[C](O)CO2,-27.172742519566135,1.0
O[CH]C1N2CC3C2C31O,52.87469845563984,1.0
OC1C2[CH]COC1CO2,-64.8545254373641,1.0
OC[C]1CCCN=CO1,-19.705775140168758,1.0
CC1C(=O)C([CH]O)C1C,-37.528852459187874,1.0
[CH2]N(C=C)c1ccccc1,82.49327421369458,1.0
C#CC1=CCCO[CH]C1,75.10105592134302,1.0
CC1[C](O)CC2C(O)C12,-31.06800362128327,1.0
O=[C]CC(=O)COC=O,-105.0266242237192,1.0
CC(O)C(C)[CH]OC=O,-99.1184225046642,1.0
O=C1CO[C]2COCC21,-49.61604197596446,1.0
C[C]1OCC(=O)C1C,-42.28801187722313,1.0
C[C](C)C1COCC1C,-23.21047306350044,1.0
CC1[N]C1(C=O)C1CN1,74.63012091040395,1.0
C[CH]C1OCC1(C)OC,-30.930610576831988,1.0
CC1[CH]NC1(C#N)C#N,132.2204447380032,1.0
C#CC1[CH]CCC1=O,62.41143852262307,1.0
[CH]1CCN=COCCO1,-7.8692438677774925,1.0
CC12COC1([C]=O)C2,16.455177936152964,1.0
CC1(C(O)C2CC2)C[N]1,37.19483145672701,1.0
C#CC1OCC1[CH]OC,44.38913271619053,1.0
COC(C)[C]1CC(=O)C1,-20.560164114948766,1.0
C[C]1OCC1C1CN1C,47.866625860561285,1.0
C[CH]C1COC(=N)C1O,-35.86382859385906,1.0
C[C]1CC2(CCCC2)O1,-1.0628312764507408,1.0
